id,model_name,BLEU_score,BERTScore_F1,SBERT_Similarity,Perplexity,Word_Overlap,Length_Similarity,Char_Similarity,Quality_Score
17,LLaMA_Base,1.5159551248314678e-155,0.8103906512260437,0.5764169096946716,5.760368663594471,0.05434782608695652,0.08294930875576034,0.9259259259259259,0.06292827088759767
18,LLaMA_Base,0.011810787998328671,0.8077584505081177,0.6153004765510559,5.989010989010989,0.0821917808219178,0.06868131868131866,0.967741935483871,0.07813864217973805
19,LLaMA_Base,0.06825591700499276,0.8394879102706909,0.7431662082672119,6.268656716417911,0.16,0.09701492537313428,1.0,0.14110447761194028
20,LLaMA_Base,0.011566261092508556,0.799011766910553,0.6345558762550354,5.945945945945946,0.10666666666666667,0.11891891891891893,0.967741935483871,0.11034234234234236
21,LLaMA_Base,5.5572870188618936e-232,0.7866876125335693,0.3150099813938141,5.303030303030303,0.013824884792626729,0.025974025974025983,0.9629629629629629,0.017469627147046505
22,LLaMA_Base,2.539717873455559e-155,0.8341534733772278,0.6656806468963623,3.2941176470588243,0.08771929824561403,0.14117647058823535,0.9629629629629629,0.10375644994840041
23,LLaMA_Base,0.055015211334102435,0.8253740072250366,0.5553113222122192,4.335664335664335,0.20987654320987653,0.16083916083916083,1.0,0.1951653284986618
24,LLaMA_Base,1.497011071390697e-155,0.8121021389961243,0.4278614819049835,5.672043010752688,0.043478260869565216,0.040322580645161255,1.0,0.042531556802244026
25,LLaMA_Base,0.020789683380182944,0.8064041137695312,0.7222564220428467,5.943060498220641,0.14035087719298245,0.11032028469750887,0.9696969696969697,0.13134169944434038
26,LLaMA_Base,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
27,LLaMA_Base,0.050518387652038886,0.839001476764679,0.7417036890983582,5.235294117647059,0.1728395061728395,0.12941176470588234,0.9642857142857143,0.15981118373275233
28,LLaMA_Base,0.015951154123447064,0.8276930451393127,0.6370452046394348,5.317919075144508,0.08641975308641975,0.09248554913294793,0.92,0.08823949190037819
29,LLaMA_Base,0.11178494868674405,0.8430027961730957,0.6435233354568481,3.378378378378378,0.14285714285714285,0.2432432432432432,0.9166666666666666,0.17297297297297295
30,LLaMA_Base,1.0446550074992694e-231,0.7988600730895996,0.22025111317634583,3.378378378378378,0.08163265306122448,0.44594594594594594,0.7931034482758621,0.1909266409266409
31,LLaMA_Base,1.8902422443188016e-155,0.8065162897109985,0.6018012166023254,6.594982078853047,0.09473684210526316,0.08602150537634412,1.0,0.09212224108658744
32,LLaMA_Base,0.014002797990128721,0.8231150507926941,0.5334120392799377,4.858156028368795,0.10344827586206896,0.1063829787234043,1.0,0.10432868672046955
33,LLaMA_Base,4.5166053975584633e-79,0.8209870457649231,0.3893897235393524,4.572490706319703,0.07534246575342465,0.059479553903345694,1.0,0.07058359219840096
34,LLaMA_Base,0.030461944061266392,0.828392505645752,0.7317147254943848,4.879725085910653,0.1610738255033557,0.15807560137457044,1.0,0.1601743582647201
35,LLaMA_Base,0.022870212965787437,0.8166488409042358,0.5751798152923584,4.912280701754385,0.09482758620689655,0.10964912280701755,0.96,0.09927404718693283
36,LLaMA_Base,0.015891039438456777,0.825273871421814,0.7177228331565857,6.206896551724138,0.09090909090909091,0.08620689655172409,1.0,0.08949843260188085
37,LLaMA_Base,0.04549824277678038,0.828856348991394,0.3841095566749573,4.612068965517241,0.128,0.08620689655172409,1.0,0.11546206896551722
38,LLaMA_Base,2.183330126321348e-155,0.803662121295929,0.37324318289756775,5.0,0.07534246575342465,0.08904109589041098,0.9696969696969697,0.07945205479452054
39,LLaMA_Base,0.01339694802467829,0.8165907859802246,0.31482505798339844,4.660194174757281,0.07878787878787878,0.08090614886731395,1.0,0.07942335981170934
40,LLaMA_Base,0.03426000536441826,0.8095569014549255,0.5805456638336182,5.0,0.1320754716981132,0.09748427672955973,1.0,0.12169811320754716
41,LLaMA_Base,0.019147718818894585,0.8349694013595581,0.6239820718765259,4.867924528301887,0.11029411764705882,0.11698113207547167,0.9583333333333334,0.11230022197558268
42,LLaMA_Base,0.011843459923132684,0.7833088040351868,0.6013034582138062,4.958677685950414,0.06557377049180328,0.052341597796143224,1.0,0.06160411868310526
43,LLaMA_Base,2.510900928869273e-155,0.8363592028617859,0.7143378853797913,5.294117647058823,0.09166666666666666,0.06666666666666665,0.9230769230769231,0.08416666666666665
44,LLaMA_Base,1.0523073183820674e-78,0.829667329788208,0.7099243402481079,4.2465753424657535,0.13095238095238096,0.1095890410958904,1.0,0.12454337899543377
45,LLaMA_Base,8.658105775159333e-79,0.8367875814437866,0.6886429190635681,5.096153846153846,0.12745098039215685,0.09615384615384615,1.0,0.11806184012066363
46,LLaMA_Base,5.866614974264094e-232,0.7800233960151672,0.1187279149889946,5.913978494623655,0.02631578947368421,0.06989247311827962,1.0,0.03938879456706283
47,LLaMA_Base,2.937340179476748e-155,0.8050059676170349,0.6295399069786072,4.090909090909091,0.14102564102564102,0.16666666666666663,1.0,0.1487179487179487
48,LLaMA_Base,0.05328618390857432,0.8373220562934875,0.6504920125007629,3.052631578947368,0.12121212121212122,0.13684210526315788,0.9642857142857143,0.1259011164274322
49,LLaMA_Base,0.060291098734265094,0.8365100026130676,0.80840003490448,4.437869822485208,0.18085106382978725,0.18934911242603547,1.0,0.1834004784086617
50,LLaMA_Base,0.037781909422825576,0.8417882919311523,0.7950069904327393,5.775193798449613,0.1834862385321101,0.1589147286821705,0.9375,0.17611478557712823
1,LLaMA_FT,2.6901704706298774e-155,0.8311951160430908,0.7662308216094971,5.2898550724637685,0.13846153846153847,0.10869565217391308,0.9166666666666666,0.12953177257525084
2,LLaMA_FT,0.117503605336665,0.8637045621871948,0.855929970741272,5.344827586206897,0.25925925925925924,0.1293103448275862,1.0,0.22027458492975732
3,LLaMA_FT,0.10795058379281416,0.8474316000938416,0.793838620185852,5.0,0.2077922077922078,0.13636363636363635,1.0,0.18636363636363634
4,LLaMA_FT,0.06617194968293136,0.8563315868377686,0.8363115191459656,5.5,0.24074074074074073,0.15000000000000002,1.0,0.21351851851851852
5,LLaMA_FT,0.1158180785758571,0.85150545835495,0.7896931767463684,3.3944954128440363,0.18055555555555555,0.13761467889908252,1.0,0.16767329255861363
6,LLaMA_FT,7.646115617112168e-79,0.8138135075569153,0.6159279346466064,4.206349206349206,0.1232876712328767,0.23809523809523814,1.0,0.15772994129158513
7,LLaMA_FT,6.475561529317024e-79,0.8164026737213135,0.6046048402786255,5.159235668789809,0.09210526315789473,0.1146496815286624,0.9583333333333334,0.09886858866912503
8,LLaMA_FT,0.05982935556378272,0.8598250150680542,0.5995650887489319,3.904761904761904,0.140625,0.2666666666666667,0.9629629629629629,0.17843750000000003
9,LLaMA_FT,0.0873405909198109,0.865328311920166,0.8738501667976379,4.155844155844156,0.2,0.18181818181818177,1.0,0.19454545454545452
10,LLaMA_FT,0.11684529593358842,0.8701963424682617,0.6537817716598511,4.568965517241379,0.23809523809523808,0.1637931034482759,0.9333333333333333,0.21580459770114943
11,LLaMA_FT,0.10891601805007284,0.8571240901947021,0.673390805721283,3.7894736842105257,0.3050847457627119,0.8105263157894737,0.7297297297297297,0.4567172167707404
12,LLaMA_FT,0.07783975223891539,0.8499270081520081,0.7463053464889526,4.879518072289156,0.16470588235294117,0.09638554216867468,1.0,0.1442097802976612
13,LLaMA_FT,0.1378759356260439,0.8848147988319397,0.8428435921669006,3.908045977011494,0.2641509433962264,0.1839080459770115,1.0,0.24007807417046192
14,LLaMA_FT,0.11267336990470439,0.8841421604156494,0.8133876919746399,5.803571428571428,0.23404255319148937,0.1339285714285714,0.9047619047619048,0.20400835866261396
15,LLaMA_FT,0.09357364465104659,0.8105400800704956,0.7060093879699707,4.871794871794872,0.2,0.10256410256410253,1.0,0.17076923076923073
16,LLaMA_FT,0.11618668433005479,0.8239376544952393,0.7217689156532288,4.477611940298507,0.22972972972972974,0.33582089552238803,0.96875,0.2615570794675272
17,LLaMA_FT,8.680762833923091e-232,0.8338006138801575,0.6092865467071533,4.845360824742269,0.1,0.18556701030927836,0.7777777777777778,0.1256701030927835
18,LLaMA_FT,0.022208135388774308,0.827107846736908,0.6262220740318298,4.491978609625669,0.11650485436893204,0.1336898395721925,0.9354838709677419,0.12166034992991018
19,LLaMA_FT,0.031120456551332755,0.840007483959198,0.6975445747375488,5.405405405405405,0.11764705882352941,0.17567567567567566,0.9642857142857143,0.1350556438791733
20,LLaMA_FT,8.69198556302324e-232,0.8104559779167175,0.562979519367218,5.595854922279793,0.08235294117647059,0.227979274611399,0.967741935483871,0.1260408412069491
21,LLaMA_FT,0.07126546662595946,0.8497915863990784,0.7210859060287476,4.0540540540540535,0.125,0.08108108108108103,1.0,0.1118243243243243
22,LLaMA_FT,0.07126546662595946,0.8517144322395325,0.7195570468902588,3.986486486486487,0.12359550561797752,0.08108108108108103,1.0,0.11084117825690858
23,LLaMA_FT,0.058832084690640586,0.8161818981170654,0.6644096374511719,4.117647058823529,0.175,0.16911764705882348,1.0,0.17323529411764704
